feature,score
629.11nm_mean,72.74217837169064
605.53nm_q25,72.69017252026669
689.14nm_std,72.4236843381761
783.47nm_mean,72.39363773301478
961.40nm_median,72.24898453184727
933.54nm_min,72.20536646458132
524.07nm_mean,72.1635827529148
596.96nm_q25,72.09204440507578
431.88nm_median,72.07983516658422
1004.28nm_median,72.07863599606146
785.61nm_mean,72.03417300043907
519.78nm_skew,71.99197381002158
1006.42nm_median,71.88248030223151
551.94nm_skew,71.77663403839686
974.27nm_median,71.77498328265393
787.76nm_mean,71.76372038527208
695.57nm_q75,71.57843219677373
789.90nm_mean,71.56700686948557
601.24nm_q25,71.55803409823545
792.04nm_mean,71.40558654339922
794.19nm_mean,71.27959771613818
680.57nm_max,71.2726267730385
796.33nm_mean,71.17767706720574
967.84nm_median,71.14976660783684
513.35nm_mean,71.14518540483323
989.27nm_median,71.07397946434783
798.47nm_mean,71.0566022542978
800.62nm_mean,70.9988185145955
626.97nm_mean,70.99403396431981
802.76nm_mean,70.98525377820202
976.41nm_median,70.97951268898571
807.05nm_mean,70.96767375887686
804.91nm_mean,70.96114818008822
669.85nm_q75,70.94968944953203
809.19nm_mean,70.91863529797328
532.64nm_q25,70.8927024698223
408.30nm_median,70.88713396184771
811.34nm_mean,70.79113015264755
813.48nm_mean,70.66161770080635
678.42nm_max,70.6574694876692
684.85nm_max,70.58581947601371
674.13nm_std,70.55663370022431
815.63nm_mean,70.51947294393698
682.71nm_max,70.44279171340906
817.77nm_mean,70.39157133533354
819.91nm_mean,70.23854227196739
822.06nm_mean,70.06066347070586
515.49nm_q25,70.05737984006349
691.28nm_std,69.96142062975106
824.20nm_mean,69.88074282198896
697.72nm_q75,69.8527469509429
957.12nm_median,69.72507515158132
826.34nm_mean,69.69129650495385
594.81nm_q25,69.60934001721381
828.49nm_mean,69.46086323203487
603.39nm_q25,69.30238047745716
1002.14nm_median,69.27095278740326
830.63nm_mean,69.2106089151368
978.56nm_median,69.1242000315943
526.21nm_mean,69.05693472961637
1012.86nm_median,68.99496018871595
624.83nm_mean,68.975665187881
832.78nm_mean,68.87442275635978
963.55nm_median,68.84566095147008
554.08nm_skew,68.74377624626712
687.00nm_max,68.6870643957668
984.99nm_median,68.65286974214109
399.73nm_median,68.50323540112412
667.70nm_q75,68.49232321950109
965.69nm_median,68.43220411576516
834.92nm_mean,68.4151667147363
676.28nm_max,68.35612979643199
972.12nm_median,68.29493960055075
699.86nm_q75,68.24681675751634
511.20nm_mean,68.22344769821159
404.01nm_q75,68.07923164308711
837.06nm_mean,67.91240644036606
671.99nm_std,67.90350997295585
969.98nm_median,67.90029297922537
991.42nm_median,67.89907684158102
517.64nm_q75,67.8607834814152
693.43nm_std,67.7797374806807
588.38nm_q25,67.36402242345713
839.21nm_mean,67.33950016185202
519.78nm_q75,67.10342972307222
406.16nm_median,67.0723319317878
982.84nm_median,66.91022723133402
841.35nm_mean,66.86188775562063
622.68nm_mean,66.86124832768544
980.70nm_median,66.83356862732437
674.13nm_max,66.677435468456
702.00nm_q75,66.64566532729074
384.72nm_median,66.5901123065998
689.14nm_max,66.49665118584956
406.16nm_q75,66.4789281448699
534.79nm_q25,66.42448235706776
382.58nm_median,66.41842126791806
843.49nm_mean,66.41675205794199
592.67nm_q25,66.3744234834049
684.85nm_min,66.31391030722408
393.29nm_median,66.29728051248573
515.49nm_q75,66.23162709421577
521.92nm_q75,66.1761208506935
845.64nm_mean,66.11339148873729
556.22nm_skew,66.10306067256843
665.56nm_q75,66.08383503538646
847.78nm_mean,65.97977723354975
695.57nm_std,65.88082902999174
590.53nm_q25,65.87277668809108
849.93nm_mean,65.85707276762476
852.07nm_mean,65.77163431030723
408.30nm_q75,65.76674195318766
995.71nm_median,65.7552703409428
854.21nm_mean,65.68397487441943
997.85nm_median,65.6611241111634
856.36nm_mean,65.61524189962815
858.50nm_mean,65.50084251667666
669.85nm_std,65.44204465679908
860.65nm_mean,65.37800296944499
528.35nm_mean,65.27512688378545
586.24nm_q25,65.2014824623294
916.38nm_mean,65.18730351689582
862.79nm_mean,65.1850871102289
918.53nm_mean,65.17481254238703
920.67nm_mean,65.16919653457344
704.15nm_q75,65.13711982220234
914.24nm_mean,65.0738153293619
978.56nm_mean,65.07018037280726
401.87nm_median,64.96466827310887
864.93nm_mean,64.96379504654027
912.10nm_mean,64.95382521519537
386.86nm_median,64.9444733323806
922.82nm_mean,64.90899355851322
509.06nm_mean,64.89578305211307
909.95nm_mean,64.80382593982694
404.01nm_median,64.77591887757653
924.96nm_mean,64.7188393248511
901.38nm_mean,64.71865026859322
897.09nm_mean,64.69923036880144
867.08nm_mean,64.69407735719344
907.81nm_mean,64.68321415656084
905.67nm_mean,64.66883915977408
903.52nm_mean,64.65934297991625
620.54nm_mean,64.6390300398197
899.23nm_mean,64.63587461574191
573.37nm_q25,64.61072309639205
993.56nm_median,64.55284394557223
963.55nm_mean,64.53777203189209
999.99nm_median,64.50684946479942
513.35nm_q75,64.49665360179115
391.15nm_median,64.49653597373938
894.95nm_mean,64.48879313970403
927.10nm_mean,64.48420201112262
972.12nm_mean,64.442216141523
869.22nm_mean,64.4142518696615
892.80nm_mean,64.40028137206414
890.66nm_mean,64.28742394775642
871.36nm_mean,64.25366440143803
697.72nm_std,64.22096499774567
888.52nm_mean,64.16983376813138
873.51nm_mean,64.1366006708084
886.37nm_mean,64.12091569631052
929.25nm_mean,64.09471281917405
884.23nm_mean,64.08910512452465
976.41nm_mean,64.05350937863341
877.80nm_mean,64.03963349410748
882.08nm_mean,64.02886536898936
875.65nm_mean,64.02641025839235
