feature,frequency
513.35nm,0.0
513.35nm,0.0
513.35nm,0.0
513.35nm,0.0
513.35nm,0.0
513.35nm,0.0
515.49nm,0.0
515.49nm,0.0
515.49nm,0.0
515.49nm,0.0
515.49nm,0.0
515.49nm,0.0
515.49nm,0.0
515.49nm,0.0
517.64nm,0.0
517.64nm,0.0
517.64nm,0.0
517.64nm,0.0
517.64nm,0.0
519.78nm,0.0
519.78nm,0.0
519.78nm,0.0
519.78nm,0.0
521.92nm,0.0
521.92nm,0.0
521.92nm,0.0
521.92nm,0.0
524.07nm,0.0
524.07nm,0.0
524.07nm,0.0
524.07nm,0.0
526.21nm,0.0
526.21nm,0.0
526.21nm,0.0
526.21nm,0.0
526.21nm,0.0
528.35nm,0.0
528.35nm,0.0
528.35nm,0.0
528.35nm,0.0
528.35nm,0.0
528.35nm,0.0
528.35nm,0.0
530.50nm,0.0
530.50nm,0.0
530.50nm,0.0
530.50nm,0.0
530.50nm,0.0
530.50nm,0.0
530.50nm,0.0
532.64nm,0.0
532.64nm,0.0
532.64nm,0.0
532.64nm,0.0
532.64nm,0.0
532.64nm,0.0
534.79nm,0.0
534.79nm,0.0
534.79nm,0.0
534.79nm,0.0
534.79nm,0.0
534.79nm,0.0
534.79nm,0.0
534.79nm,0.0
536.93nm,0.0
536.93nm,0.0
536.93nm,0.0
536.93nm,0.0
536.93nm,0.0
536.93nm,0.0
536.93nm,0.0
536.93nm,0.0
539.07nm,0.0
539.07nm,0.0
539.07nm,0.0
539.07nm,0.0
539.07nm,0.0
539.07nm,0.0
539.07nm,0.0
539.07nm,0.0
541.22nm,0.0
541.22nm,0.0
541.22nm,0.0
541.22nm,0.0
541.22nm,0.0
541.22nm,0.0
541.22nm,0.0
541.22nm,0.0
543.36nm,0.0
543.36nm,0.0
543.36nm,0.0
543.36nm,0.0
543.36nm,0.0
543.36nm,0.0
543.36nm,0.0
543.36nm,0.0
545.51nm,0.0
545.51nm,0.0
545.51nm,0.0
545.51nm,0.0
545.51nm,0.0
545.51nm,0.0
545.51nm,0.0
545.51nm,0.0
545.51nm,0.0
547.65nm,0.0
547.65nm,0.0
547.65nm,0.0
547.65nm,0.0
547.65nm,0.0
547.65nm,0.0
547.65nm,0.0
547.65nm,0.0
547.65nm,0.0
549.79nm,0.0
549.79nm,0.0
549.79nm,0.0
549.79nm,0.0
549.79nm,0.0
549.79nm,0.0
549.79nm,0.0
549.79nm,0.0
549.79nm,0.0
551.94nm,0.0
551.94nm,0.0
551.94nm,0.0
551.94nm,0.0
551.94nm,0.0
551.94nm,0.0
551.94nm,0.0
551.94nm,0.0
551.94nm,0.0
554.08nm,0.0
554.08nm,0.0
554.08nm,0.0
554.08nm,0.0
554.08nm,0.0
554.08nm,0.0
554.08nm,0.0
554.08nm,0.0
554.08nm,0.0
556.22nm,0.0
556.22nm,0.0
556.22nm,0.0
556.22nm,0.0
556.22nm,0.0
556.22nm,0.0
556.22nm,0.0
556.22nm,0.0
556.22nm,0.0
558.37nm,0.0
558.37nm,0.0
558.37nm,0.0
558.37nm,0.0
558.37nm,0.0
558.37nm,0.0
558.37nm,0.0
558.37nm,0.0
558.37nm,0.0
560.51nm,0.0
560.51nm,0.0
560.51nm,0.0
560.51nm,0.0
560.51nm,0.0
560.51nm,0.0
560.51nm,0.0
560.51nm,0.0
560.51nm,0.0
562.66nm,0.0
562.66nm,0.0
562.66nm,0.0
